player_id,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
423,manitoba,2010,F,23,1.0,0.0,1.0
424,regina,2010,S,04,20.0,18.0,25.6
425,regina,2010,F,05,12.0,0.0,7.3
426,regina,2010,F,06,2.0,0.0,1.5
427,regina,2010,S,07,18.0,0.0,9.8
428,regina,2010,J,08,12.0,0.0,7.3
429,regina,2010,S,10,19.0,12.0,21.6
430,regina,2010,S,11,20.0,0.0,9.6
431,regina,2010,F,12,18.0,0.0,7.7
432,regina,2010,S,13,19.0,4.0,19.4
433,regina,2010,S,14,20.0,10.0,25.1
434,regina,2010,J,20,20.0,19.0,25.1
435,regina,2010,S,21,20.0,17.0,29.1
436,regina,2010,S,22,20.0,15.0,21.8
437,saskatchewan,2010,S,03,20.0,20.0,31.1
438,saskatchewan,2010,J,04,20.0,0.0,14.1
439,saskatchewan,2010,S,05,20.0,20.0,30.1
440,saskatchewan,2010,S,06,20.0,20.0,30.6
441,saskatchewan,2010,J,07,20.0,0.0,10.8
442,saskatchewan,2010,F,08,8.0,0.0,6.1
443,saskatchewan,2010,S,09,20.0,19.0,20.9
444,saskatchewan,2010,S,10,20.0,1.0,16.1
445,saskatchewan,2010,J,11,18.0,6.0,12.7
446,saskatchewan,2010,S,12,19.0,0.0,8.3
447,saskatchewan,2010,F,13,17.0,1.0,6.5
448,saskatchewan,2010,S,15,20.0,13.0,19.9
449,thompsonrivers,2010,S,02,18.0,13.0,21.6
450,thompsonrivers,2010,J,04,18.0,18.0,30.6
451,thompsonrivers,2010,S,05,16.0,0.0,6.4
452,thompsonrivers,2010,J,06,0.0,0.0,0.0
453,thompsonrivers,2010,J,07,17.0,0.0,9.5
454,thompsonrivers,2010,S,08,18.0,18.0,31.4
455,thompsonrivers,2010,S,09,4.0,0.0,8.3
456,thompsonrivers,2010,S,10,18.0,18.0,27.1
457,thompsonrivers,2010,S,11,18.0,2.0,14.7
458,thompsonrivers,2010,J,12,16.0,3.0,16.7
459,thompsonrivers,2010,S,13,18.0,18.0,25.8
460,thompsonrivers,2010,J,14,18.0,0.0,13.6
461,thompsonrivers,2010,F,15,10.0,0.0,6.5
462,trinitywestern,2010,,01,4.0,0.0,5.0
463,trinitywestern,2010,,02,17.0,17.0,31.8
464,trinitywestern,2010,,03,0.0,0.0,0.0
465,trinitywestern,2010,,04,6.0,0.0,4.2
466,trinitywestern,2010,,05,15.0,15.0,30.4
467,trinitywestern,2010,,06,18.0,18.0,25.2
468,trinitywestern,2010,,07,11.0,3.0,8.6
469,trinitywestern,2010,,08,15.0,6.0,12.8
470,trinitywestern,2010,,09,18.0,16.0,30.9
471,trinitywestern,2010,,10,0.0,0.0,0.0
472,trinitywestern,2010,,11,17.0,2.0,12.5
473,trinitywestern,2010,,12,12.0,0.0,5.5
474,trinitywestern,2010,,13,17.0,3.0,14.4
475,trinitywestern,2010,,14,18.0,9.0,23.7
476,trinitywestern,2010,,15,18.0,1.0,16.0
463,trinitywestern,2010,,20,0.0,0.0,0.0
462,trinitywestern,2010,,21,1.0,0.0,4.0
464,trinitywestern,2010,,23,0.0,0.0,0.0
477,ubc,2010,,04,17.0,0.0,10.6
478,ubc,2010,,05,16.0,2.0,14.7
479,ubc,2010,,06,0.0,0.0,0.0
480,ubc,2010,,07,18.0,15.0,28.1
481,ubc,2010,,08,18.0,16.0,27.5
482,ubc,2010,,09,18.0,17.0,31.1
