Year,Name,School,Conference,Grade
2014,Angela Tilk, Ottawa,OUA,2
2022,Tatyanna Burke, Carleton,OUA,2
2022,Sophie de Goede, Queens,OUA,2
2022,Lauren Golding, York,OUA,2
2022,Helena Lamoureux, Laurentian,OUA,2
2022,Natsuki Szczokin, Ottawa,OUA,2
2015,Danielle Boiago, McMaster,OUA,1
2015,Whitney Ellenor, Laurier,OUA,1
2015,Stephanie MacDonald, Ottawa,OUA,1
2015,Katherine MacTavish, Guelph,OUA,1
2015,Keneca Pingue-Giles, Ryerson,OUA,1
2015,Cheyanne Roger, Windsor,OUA,1
2015,Jill Stratton, Toronto,OUA,1
2015,Jylisa Williams, Lakehead,OUA,1
2015,Korissa Williams, Windsor,OUA,1
2015,Jenny Wright, Queens,OUA,1
2016,Danielle Boiago, McMaster,OUA,1
2016,Heather Lindsay, Carleton,OUA,1
2016,Nicole Morrison, Laurier,OUA,1
2016,Sofia Paska, Ryerson,OUA,1
2016,Robyn Pearson, Queens,OUA,1
2016,Keneca Pingue-Giles, Ryerson,OUA,1
2016,Mackenzie Puklicz, Western,OUA,1
2016,Kellie Ring, Ottawa,OUA,1
2016,Cheyanne Roger, Windsor,OUA,1
2016,Jenny Wright, Queens,OUA,1
2017,Danielle Boiago, McMaster,OUA,1
2017,Kira Cornelissen, Brock,OUA,1
2017,Linnaea Harper, McMaster,OUA,1
2017,Emily Hazlett, Queens,OUA,1
2017,Heather Lindsay, Carleton,OUA,1
2017,Sofia Paska, Ryerson,OUA,1
2017,Robyn Pearson, Queens,OUA,1
2017,Emily Prevost, Windsor,OUA,1
2017,Kellie Ring, Ryerson,OUA,1
2017,Catherine Traer, Carleton,OUA,1
2018,Leashja Grant, Lakehead,OUA,1
2018,Hilary Hanaka, McMaster,OUA,1
2018,Sofia Paska, Ryerson,OUA,1
2018,Emily Prevost, Windsor,OUA,1
2018,Lindsay Shotbolt, York,OUA,1
2019,Nicole Gilmore, Carleton,OUA,1
2019,Leashja Grant, Lakehead,OUA,1
2019,Hilary Hanaka, McMaster,OUA,1
2019,Linnaea Harper, McMaster,OUA,1
2019,Brooklynn McAlear-Fanus, Ottawa,OUA,1
2020,Christina Buttenham, McMaster,OUA,1
2020,Alyssa Cerino, Carleton,OUA,1
2020,Madison Horst, Western,OUA,1
2020,Brooklynn McAlear-Fanus, Ottawa,OUA,1
2020,Melissa Tatti, Brock,OUA,1
2023,Julia Chadwick, Queens,OUA,1
2023,Sarah Gates, McMaster,OUA,1
2023,Brigitte Lefebvre-Okankwu, Ottawa,OUA,1
2023,Kali Pocrnic, Carleton,OUA,1
2023,Mackeely Shantz, Guelph,OUA,1
2022,Burke Bechard, Guelph,OUA,1
2022,Sarah Gates, McMaster,OUA,1
2022,Vanessa Hughes, Waterloo,OUA,1
2022,Samantha Keltos, Brock,OUA,1
2022,Ariane Saumure, Western,OUA,1
2010,Renata Adamczyk, Laurier,OUA,1
